City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Lagoa,PT,2021-03-06 08:41:12,39.05,-27.9833,59.31,90,100,15.05
110,Sayyan,YE,2021-03-06 08:41:12,15.1718,44.3244,66.69,24,0,16.82
111,Tuktoyaktuk,CA,2021-03-06 08:41:12,69.4541,-133.0374,-13.27,89,0,6.51
112,San Quintin,MX,2021-03-06 08:41:13,30.4833,-115.95,56.55,89,4,12.82
113,Quelimane,MZ,2021-03-06 08:41:13,-17.8786,36.8883,87.8,66,75,6.91
114,Guerrero Negro,MX,2021-03-06 08:41:13,27.9769,-114.0611,58.55,81,2,13.91
115,Norman Wells,CA,2021-03-06 08:41:14,65.282,-126.8329,-13.0,84,75,4.61
116,Chokwe,MZ,2021-03-06 08:41:14,-24.5333,32.9833,85.93,61,13,9.98
117,Naze,JP,2021-03-06 08:37:33,28.3667,129.4833,66.2,72,75,5.75
118,Adrar,MR,2021-03-06 08:41:15,20.5022,-10.0711,68.18,24,0,15.61
119,Qaanaaq,GL,2021-03-06 08:41:15,77.484,-69.3632,-16.73,68,0,3.8
120,Carnarvon,AU,2021-03-06 08:41:15,-24.8667,113.6333,82.4,78,0,17.27
121,Camana,PE,2021-03-06 08:41:15,-16.6228,-72.7111,71.91,81,96,6.51
122,Ribeira Grande,PT,2021-03-06 08:41:16,38.5167,-28.7,59.0,100,75,6.91
123,Manoharpur,IN,2021-03-06 08:41:16,27.3,75.95,91.4,12,0,6.91
124,Kruisfontein,ZA,2021-03-06 08:41:16,-34.0033,24.7314,82.0,58,0,3.0
125,Clyde River,CA,2021-03-06 08:41:16,70.4692,-68.5914,-22.0,76,1,14.97
126,Huanan,CN,2021-03-06 08:41:17,46.2167,130.5167,8.31,91,6,11.32
127,Airai,TL,2021-03-06 08:41:17,-8.9266,125.4092,66.51,100,67,1.88
128,Longyan,CN,2021-03-06 08:41:17,25.1072,117.0225,69.62,82,89,1.92
129,Bluff,NZ,2021-03-06 08:41:18,-46.6,168.3333,57.99,74,90,1.01
130,Kavaratti,IN,2021-03-06 08:41:18,10.5669,72.642,83.12,60,12,8.34
131,Hasaki,JP,2021-03-06 08:41:18,35.7333,140.8333,60.8,63,75,18.41
132,Lompoc,US,2021-03-06 08:37:37,34.6391,-120.4579,48.2,87,40,3.44
133,Rio Grande,BR,2021-03-06 08:36:24,-32.035,-52.0986,60.01,92,89,9.89
134,Pangai,TO,2021-03-06 08:41:19,-19.8,-174.35,81.25,82,90,8.1
135,Kapoeta,SS,2021-03-06 08:41:19,4.7717,33.5903,99.68,19,61,18.45
136,Chateauroux,FR,2021-03-06 08:40:24,46.8167,1.7,33.8,86,0,11.5
137,Shimanovsk,RU,2021-03-06 08:41:20,52.0,127.7,1.89,90,97,1.92
138,Lima,PE,2021-03-06 08:36:31,-12.0432,-77.0282,73.4,83,40,6.91
139,Katsuura,JP,2021-03-06 08:41:20,35.1333,140.3,62.01,59,100,22.73
